Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR21916209_1	SRR21916209_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90299.0	21.7 Mbp	0.0	241.0	57.0	5.364400491699797	241.0	241	pass	pass		pass	fail	warn	pass	pass	fail	fail	pass
SRR21916209_2	SRR21916209_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90299.0	22.6 Mbp	0.0	251.0	56.0	10.982402905901505	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916210_1	SRR21916210_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84743.0	20.5 Mbp	0.0	242.0	57.0	5.928513269532587	242.0	242	pass	pass		pass	fail	fail	pass	pass	fail	fail	pass
SRR21916210_2	SRR21916210_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84743.0	21.2 Mbp	0.0	251.0	55.0	11.488854536657895	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916211_1	SRR21916211_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98661.0	23.9 Mbp	0.0	243.0	57.0	5.424635874357649	243.0	243	pass	pass		pass	fail	warn	pass	pass	fail	fail	pass
SRR21916211_2	SRR21916211_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98661.0	24.7 Mbp	0.0	251.0	56.0	10.759063865154419	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916212_1	SRR21916212_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91482.0	22.3 Mbp	0.0	244.0	57.0	5.6393607485625585	244.0	244	pass	pass		pass	fail	warn	pass	pass	fail	fail	pass
SRR21916212_2	SRR21916212_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91482.0	22.9 Mbp	0.0	251.0	56.0	10.833825233379244	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
SRR21916213_1	SRR21916213_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86930.0	20.9 Mbp	0.0	241.0	57.0	5.824226389048659	241.0	241	pass	pass		pass	fail	warn	pass	pass	fail	fail	pass
SRR21916213_2	SRR21916213_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86930.0	21.8 Mbp	0.0	251.0	55.0	11.695617163234786	251.0	251	pass	pass		pass	fail	fail	pass	pass	fail	warn	pass
