Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR21916214_1	93.86713308046654	57.0	244.0001423646773	244	40.0	98339.0
SRR21916214_2	88.61387648847355	55.0	250.9998576353227	251	30.0	98339.0
SRR21916215_1	94.00465784433223	57.0	242.0	242	40.0	91888.0
SRR21916215_2	88.46312902664113	55.0	251.0	251	30.0	91888.0
SRR21916216_1	94.19428413449909	57.0	243.0	243	40.0	86811.0
SRR21916216_2	88.38165670249163	55.0	251.0	251	30.0	86811.0
SRR21916217_1	94.33730186358467	57.0	244.0	244	40.0	86178.0
SRR21916217_2	88.179117640233	55.0	251.0	251	30.0	86178.0
SRR21916218_1	94.11887491520118	57.0	244.00014611490894	244	40.0	95815.0
SRR21916218_2	88.71053592861243	55.0	250.99985388509106	251	30.0	95815.0
SRR21916219_1	93.3499205929063	57.0	241.0	241	40.0	94450.0
SRR21916219_2	88.31233456855479	55.0	251.0	251	30.0	94450.0
SRR21916220_1	93.80924635277772	57.0	242.0	242	40.0	89246.0
SRR21916220_2	88.46222799901396	55.0	251.0	251	30.0	89246.0
SRR21916221_1	93.53483766741363	57.0	243.00016676220753	243	40.0	95945.0
SRR21916221_2	88.26098285476054	55.0	250.99983323779247	251	30.0	95945.0
SRR21916222_1	94.16833310648812	57.0	244.00007328845288	244	40.0	95513.0
SRR21916222_2	88.64866562666862	55.0	250.99992671154712	251	30.0	95513.0
SRR21916223_1	92.95317624619106	57.0	241.00011630341234	241	30.0	85982.0
SRR21916223_2	88.7871880160964	55.0	250.99988369658766	251	30.0	85982.0
SRR21916224_1	94.3573759599789	57.0	242.0	242	36.36363636363637	102346.0
SRR21916224_2	89.13782658823989	55.0	251.0	251	36.36363636363637	102346.0
SRR21916225_1	91.98014872895858	57.0	241.0	241	40.0	64278.0
SRR21916225_2	86.17256292977379	55.0	251.0	251	30.0	64278.0
SRR21916226_1	93.23493363782069	57.0	243.00050282314243	243	40.0	95461.0
SRR21916226_2	88.36173934905354	55.0	250.99949717685757	251	30.0	95461.0
SRR21916227_1	94.35983378415462	57.0	244.00013720647615	244	40.0	102036.0
SRR21916227_2	88.67556548669097	55.0	250.99986279352385	251	30.0	102036.0
SRR21916228_1	93.74659574221512	57.0	243.00009271170137	243	40.0	86289.0
SRR21916228_2	88.68337795083963	55.0	250.99990728829863	251	30.0	86289.0
SRR21916229_1	94.00206245656511	57.0	244.0	244	40.0	89214.0
SRR21916229_2	88.45808953751653	55.0	251.0	251	30.0	89214.0
SRR21916230_1	92.05245167514262	56.0	241.0	241	40.0	83963.0
SRR21916230_2	87.3158415016138	55.0	251.0	251	30.0	83963.0
SRR21916231_1	93.99344262295082	57.0	242.0	242	40.0	91500.0
SRR21916231_2	88.2448087431694	55.0	251.0	251	30.0	91500.0
SRR21916232_1	93.00227495762334	57.0	243.00026764207334	243	40.0	89672.0
SRR21916232_2	88.19029351414042	55.0	250.99973235792666	251	30.0	89672.0
SRR21916233_1	94.10718076771434	57.0	244.00042459840068	244	40.0	98917.0
SRR21916233_2	88.352861489936	55.0	250.99957540159932	251	30.0	98917.0
SRR21916234_1	93.33834209867268	57.0	241.0	241	40.0	71874.0
SRR21916234_2	87.79252580905474	55.0	251.0	251	30.0	71874.0
SRR21916235_1	94.17402765573695	57.0	242.0	242	40.0	86492.0
SRR21916235_2	88.052074180271	55.0	251.0	251	30.0	86492.0
SRR21916236_1	93.05144348708777	57.0	242.00032628004496	242	40.0	82751.0
SRR21916236_2	88.08956991456297	55.0	250.99967371995504	251	30.0	82751.0
SRR21916237_1	94.16458442586709	57.0	243.0	243	30.0	97251.0
SRR21916237_2	88.48957851333148	55.0	251.0	251	30.0	97251.0
